Carimbo de data/hora,Pontuação,Iniciais
2021-09-28 19:06:32.509,70,rcv
2021-09-28 20:21:51.423,60,rcg
2021-09-28 21:03:48.631,60,fdav
2021-09-28 23:59:46.199,80,dcds
2021-09-29 00:06:42.055,70,dcds
2021-09-29 11:41:21.192,70,mlldc
2021-09-29 13:52:45.672,70,ardcs
2021-09-29 15:26:34.086,50,amdc
2021-09-29 15:39:07.186,40,pgl
2021-09-29 16:44:51.017,50,ivb
2021-09-29 17:08:31.641,80,tlmda
2021-09-29 18:36:03.769,60,eado
2021-09-29 18:52:37.211,60,rmdbs
2021-09-29 19:36:09.630,70,rmdbs
2021-09-29 19:41:46.450,80,rmdbs
2021-09-29 20:09:06.336,90,rmdbs
2021-09-29 21:11:24.624,80,lsds
2021-09-29 21:15:55.119,70,eado
2021-09-29 21:23:50.703,80,eado
2021-09-29 21:28:18.976,80,eado
2021-09-29 21:30:18.595,80,eado
2021-09-29 21:32:33.902,80,eado
2021-09-29 21:33:51.671,80,eado
2021-09-29 21:35:54.429,100,eado
2021-09-29 22:26:36.272,50,vws
2021-09-29 23:03:27.378,60,lfxado
2021-09-29 23:20:46.710,100,mmds
2021-09-30 10:28:54.530,90,mlpv
2021-09-30 11:25:56.244,40,dcbp
2021-09-30 12:34:28.284,100,rmc
2021-09-30 12:56:03.903,90,ecr
2021-09-30 13:02:54.826,40,hbv
2021-09-30 13:36:46.924,80,jvpma
2021-09-30 13:50:36.551,80,vhcdsg
2021-09-30 13:59:07.364,50,bdcs
2021-09-30 14:54:39.687,100,rmdbs
2021-09-30 16:03:52.282,80,slds
2021-09-30 16:19:28.304,20,efv
2021-09-30 16:25:26.419,60,efv
2021-09-30 16:32:28.663,80,efv
2021-09-30 16:59:27.544,50,sndfa
