Matrícula,Iniciais
20-21.4504.73295,ABBC
20-21.4504.72919,ACGW
20-21.4504.31994,AMDC
20-21.4504.75042,APDDA
20-21.4504.70440,ARDCS
20-21.4504.75027,AVS
20-21.4504.70674,BDCS
20-21.4504.73170,CARAV
20-21.4504.75023,CEDC
20-21.4504.75057,CEG
20-21.4504.70521,CSGR
20-21.4504.9037,DCBP
20-21.4504.70487,DCDS
20-21.4504.70425,DDDL
20-21.4504.70613,EADO
20-21.4504.70603,ECR
20-21.4504.71468,EECDM
20-21.4504.71634,EFV
20-21.4504.71637,FDAV
20-21.4504.73459,FFN
20-21.4504.50319,FOSH
20-21.4504.73751,GADL
20-21.4504.71675,GDC
20-21.4504.75029,GDOESDC
20-21.4504.44964,GHCDS
20-21.4504.75024,HAA
20-21.4504.70449,HBV
20-21.4504.1320,HCBS
20-21.4504.75025,HRL
20-21.4504.70569,IB
20-21.4504.74017,IVB
20-21.4504.70833,JBDS
20-21.4504.73107,JFDRF
20-21.4504.75048,JFS
20-21.4504.23782,JVPMA
20-21.4504.75038,LCAN
20-21.4504.70658,LFMDM
20-21.4504.75033,LFXADO
20-21.4504.75045,LM
20-21.4504.75032,LMG
20-21.4504.75041,LN
20-21.4504.71599,LQF
20-21.4504.70812,LSDS
20-21.4504.32411,LTM
20-21.4504.74962,MADS
20-21.4504.38835,MLLDC
20-21.4504.73769,MLPV
20-21.4504.75021,MMC
20-21.4504.75028,MMDS
20-21.4504.18846,MMT
20-21.4504.74161,MNPDS
20-21.4504.83,PGL
20-21.4504.75039,PHFF
20-21.4504.51696,PLFDS
20-21.4504.75053,PPWS
20-21.4504.73102,PWG
20-21.4504.70441,RBPG
20-21.4504.70642,RCG
20-21.4504.70468,RCV
20-21.4504.75049,RDCN
20-21.4504.70665,RMC
20-21.4504.75052,RMCJ
20-21.4504.70667,RMDBS
20-21.4504.74315,SLDS
20-21.4504.70716,SNDFA
20-21.4504.71408,TBDS
20-21.4504.75026,TLMDA
20-21.4504.73957,VCF
20-21.4504.74867,VHCDSG
20-21.4504.72897,VM
20-21.4504.74789,VRR
20-21.4504.70435,VWS
20-21.4504.71670,WCC
20-21.4504.75047,WDADJ
